year,league,division,team,wins,losses,winning_percentage,games_back
1964,National League,League,San Francisco Giants,90,72,0.5555555555555556,.556
1964,National League,League,Pittsburgh Pirates,80,82,0.49382716049382713,.494
1964,National League,League,Chicago Cubs,76,86,0.4691358024691358,.469
1965,National League,League,San Francisco Giants,95,67,0.5864197530864198,.586
1965,National League,League,Pittsburgh Pirates,90,72,0.5555555555555556,.556
1965,National League,League,Cincinnati Reds,89,73,0.5493827160493827,.549
1965,National League,League,Chicago Cubs,72,90,0.4444444444444444,.444
1965,National League,League,Houston Astros,65,97,0.4012345679012346,.401
1966,National League,League,San Francisco Giants,93,68,0.577639751552795,1½
1966,National League,League,Pittsburgh Pirates,92,70,0.5679012345679012,.568
1966,National League,League,Cincinnati Reds,76,84,0.475,.475
1966,National League,League,Houston Astros,72,90,0.4444444444444444,.444
1966,National League,League,Chicago Cubs,59,103,0.36419753086419754,.364
1967,National League,League,San Francisco Giants,91,71,0.5617283950617284,10½
1967,National League,League,Chicago Cubs,84,74,0.5316455696202531,.540
1967,National League,League,Cincinnati Reds,87,75,0.5370370370370371,14½
1967,National League,League,Pittsburgh Pirates,81,81,0.5,20½
1967,National League,League,Houston Astros,69,93,0.42592592592592593,32½
1968,National League,League,San Francisco Giants,88,74,0.5432098765432098,.543
1968,National League,League,Chicago Cubs,84,78,0.5185185185185185,.519
1968,National League,League,Cincinnati Reds,83,79,0.5123456790123457,.512
1968,National League,League,Pittsburgh Pirates,80,82,0.49382716049382713,.494
1968,National League,League,Houston Astros,72,90,0.4444444444444444,.444
1969,National League,East,Chicago Cubs,92,70,0.5679012345679012,.568
1969,National League,East,Pittsburgh Pirates,88,74,0.5432098765432098,.543
1969,National League,West,San Francisco Giants,90,72,0.5555555555555556,.556
1969,National League,West,Cincinnati Reds,89,73,0.5493827160493827,.549
1969,National League,West,Houston Astros,81,81,0.5,.500
1969,National League,West,San Diego Padres,52,110,0.32098765432098764,.321
1970,National League,East,Pittsburgh Pirates,89,73,0.5493827160493827,.549
1970,National League,East,Chicago Cubs,84,78,0.5185185185185185,.519
1970,National League,West,Cincinnati Reds,102,60,0.6296296296296297,.630
1970,National League,West,San Francisco Giants,86,76,0.5308641975308642,.531
1970,National League,West,Houston Astros,79,83,0.4876543209876543,.488
1970,National League,West,San Diego Padres,63,99,0.3888888888888889,.389
1971,National League,East,Pittsburgh Pirates,97,65,0.5987654320987654,.599
1971,National League,East,Chicago Cubs,83,79,0.5123456790123457,.512
1971,National League,West,San Francisco Giants,90,72,0.5555555555555556,.556
1971,National League,West,Houston Astros,79,83,0.4876543209876543,.488
1971,National League,West,Cincinnati Reds,79,83,0.4876543209876543,.488
1971,National League,West,San Diego Padres,61,100,0.37888198757763975,28½
1972,National League,East,Pittsburgh Pirates,96,59,0.6193548387096774,.619
1972,National League,East,Chicago Cubs,85,70,0.5483870967741935,.548
1972,National League,West,Cincinnati Reds,95,59,0.6168831168831169,.617
1972,National League,West,Houston Astros,84,69,0.5490196078431373,10½
1972,National League,West,San Francisco Giants,69,86,0.44516129032258067,26½
1972,National League,West,San Diego Padres,58,95,0.3790849673202614,36½
1973,National League,East,Pittsburgh Pirates,80,82,0.49382716049382713,2½
1973,National League,East,Chicago Cubs,77,84,0.4782608695652174,.478
1973,National League,West,Cincinnati Reds,99,63,0.6111111111111112,.611
1973,National League,West,San Francisco Giants,88,74,0.5432098765432098,.543
1973,National League,West,Houston Astros,82,80,0.5061728395061729,.506
1973,National League,West,San Diego Padres,60,102,0.37037037037037035,.370
1974,National League,East,Pittsburgh Pirates,88,74,0.5432098765432098,.543
1974,National League,East,Chicago Cubs,66,96,0.4074074074074074,.407
1974,National League,West,Cincinnati Reds,98,64,0.6049382716049383,.605
1974,National League,West,Houston Astros,81,81,0.5,.500
1974,National League,West,San Francisco Giants,72,90,0.4444444444444444,.444
1974,National League,West,San Diego Padres,60,102,0.37037037037037035,.370
1975,National League,East,Pittsburgh Pirates,92,69,0.5714285714285714,.571
1975,National League,East,Chicago Cubs,75,87,0.46296296296296297,17½
1975,National League,West,Cincinnati Reds,108,54,0.6666666666666666,.667
1975,National League,West,San Francisco Giants,80,81,0.4968944099378882,27½
1975,National League,West,San Diego Padres,71,91,0.4382716049382716,.438
1975,National League,West,Houston Astros,64,97,0.39751552795031053,43½
1976,National League,East,Pittsburgh Pirates,92,70,0.5679012345679012,.568
1976,National League,East,Chicago Cubs,75,87,0.46296296296296297,.463
1976,National League,West,Cincinnati Reds,102,60,0.6296296296296297,.630
1976,National League,West,Houston Astros,80,82,0.49382716049382713,.494
1976,National League,West,San Francisco Giants,74,88,0.4567901234567901,.457
1976,National League,West,San Diego Padres,73,89,0.4506172839506173,.451
1977,National League,East,Pittsburgh Pirates,96,66,0.5925925925925926,.593
1977,National League,East,Chicago Cubs,81,81,0.5,.500
1977,National League,West,Cincinnati Reds,88,74,0.5432098765432098,.543
1977,National League,West,Houston Astros,81,81,0.5,.500
1977,National League,West,San Francisco Giants,75,87,0.46296296296296297,.463
1977,National League,West,San Diego Padres,69,93,0.42592592592592593,.426
1978,National League,East,Pittsburgh Pirates,88,73,0.546583850931677,1½
1978,National League,East,Chicago Cubs,79,83,0.4876543209876543,.488
1978,National League,West,Cincinnati Reds,92,69,0.5714285714285714,2½
1978,National League,West,San Francisco Giants,89,73,0.5493827160493827,.549
1978,National League,West,San Diego Padres,84,78,0.5185185185185185,.519
1978,National League,West,Houston Astros,74,88,0.4567901234567901,.457
1979,National League,East,Pittsburgh Pirates,98,64,0.6049382716049383,.605
1979,National League,East,Chicago Cubs,80,82,0.49382716049382713,.494
1979,National League,West,Cincinnati Reds,90,71,0.5590062111801242,.559
1979,National League,West,Houston Astros,89,73,0.5493827160493827,1½
1979,National League,West,San Francisco Giants,71,91,0.4382716049382716,19½
1979,National League,West,San Diego Padres,68,93,0.422360248447205,.422
1980,National League,East,Pittsburgh Pirates,83,79,0.5123456790123457,.512
1980,National League,East,Chicago Cubs,64,98,0.3950617283950617,.395
1980,National League,West,Houston Astros,93,70,0.5705521472392638,.571
1980,National League,West,Cincinnati Reds,89,73,0.5493827160493827,3½
1980,National League,West,San Francisco Giants,75,86,0.4658385093167702,.466
1980,National League,West,San Diego Padres,73,89,0.4506172839506173,19½
1981,National League,East,Pittsburgh Pirates,46,56,0.45098039215686275,.451
1981,National League,East,Chicago Cubs,38,65,0.36893203883495146,21½
1981,National League,West,Cincinnati Reds,66,42,0.6111111111111112,.611
1981,National League,West,Houston Astros,61,49,0.5545454545454546,.555
1981,National League,West,San Francisco Giants,56,55,0.5045045045045045,11½
1981,National League,West,San Diego Padres,41,69,0.37272727272727274,.373
1982,National League,East,Pittsburgh Pirates,84,78,0.5185185185185185,.519
1982,National League,East,Chicago Cubs,73,89,0.4506172839506173,.451
