2000_national_leagueteam_standings,year,league,2001_national_leagueteam_standings,2002_national_leagueteam_standings,2003_national_leagueteam_standings,2004_national_leagueteam_standings,2005_national_leagueteam_standings,2006_national_league_standings2006_allstar_game_2006_nl_team_standings_2006_world_series,2007_national_league_standings2007_allstar_game_2007_nl_team_standings_2007_world_series,2008_national_league_standings2008_allstar_game_2008_nl_team_standings_2008_world_series,2009_national_leagueteam_standings,2010_national_leagueteam_standings,2011_national_leagueteam_standings,2012_national_league_standings2012_allstar_game_2012_team_standings_2012_world_series,2013_national_leagueteam_standings,2014_national_league_team_standings2014_allstar_game_team_standings_2014_world_series,2015_national_leagueteam_standings,2016_national_leagueteam_standings,2017_national_leaguefinal_team_standings,2018_national_league_team_standings2018_allstar_game_2018_team_standings_2018_world_series,2019_national_leagueteam_standings,2020_national_league_team_standings2020_allstar_game_2020_team_standings_2020_world_series,2021_national_league_team_standings2021_allstar_game_2021_team_standings_2021_world_series,2022_national_league_team_standings2022_allstar_game_2022_team_standings_2022_world_series,2023_national_league_team_standings2023_allstar_game_2023_team_standings_2023_world_series,2024_national_league_team_standings2024_allstar_game_2024_team_standings_2024_world_series
,2008,National,,,,,,,,Florida Marlins,,,,,,,,,,,,,,,,
,2008,National,,,,,,,,New York Mets,,,,,,,,,,,,,,,,
,2008,National,,,,,,,,Philadelphia Phillies,,,,,,,,,,,,,,,,
,2008,National,,,,,,,,East,,,,,,,,,,,,,,,,
,2008,National,,,,,,,,San Diego Padres,,,,,,,,,,,,,,,,
,2008,National,,,,,,,,N.L.,,,,,,,,,,,,,,,,
,2008,National,,,,,,,,2008 National League Final Standings,,,,,,,,,,,,,,,,
,2009,National,,,,,,,,,East,,,,,,,,,,,,,,,
,2009,National,,,,,,,,,Philadelphia Phillies,,,,,,,,,,,,,,,
,2009,National,,,,,,,,,Florida Marlins,,,,,,,,,,,,,,,
,2009,National,,,,,,,,,Atlanta Braves,,,,,,,,,,,,,,,
,2009,National,,,,,,,,,Houston Astros,,,,,,,,,,,,,,,
,2009,National,,,,,,,,,Los Angeles Dodgers,,,,,,,,,,,,,,,
,2009,National,,,,,,,,,West,,,,,,,,,,,,,,,
,2009,National,,,,,,,,,Pittsburgh Pirates,,,,,,,,,,,,,,,
,2009,National,,,,,,,,,2009 National League Final Standings,,,,,,,,,,,,,,,
,2009,National,,,,,,,,,Cincinnati Reds,,,,,,,,,,,,,,,
,2009,National,,,,,,,,,Milwaukee Brewers,,,,,,,,,,,,,,,
,2009,National,,,,,,,,,"Seasonal Events:All-Star Game|Home Run Derby|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:A.L. Leaderboard|Rookies ListAverage Salary: $3,240,206.81Minimum Salary: $390,000.00",,,,,,,,,,,,,,,
,2009,National,,,,,,,,,Colorado Rockies,,,,,,,,,,,,,,,
,2009,National,,,,,,,,,Arizona Diamondbacks,,,,,,,,,,,,,,,
,2009,National,,,,,,,,,San Diego Padres,,,,,,,,,,,,,,,
,2009,National,,,,,,,,,San Francisco Giants,,,,,,,,,,,,,,,
,2009,National,,,,,,,,,St. Louis Cardinals,,,,,,,,,,,,,,,
,2009,National,,,,,,,,,Central,,,,,,,,,,,,,,,
,2009,National,,,,,,,,,Washington Nationals,,,,,,,,,,,,,,,
,2009,National,,,,,,,,,Chicago Cubs,,,,,,,,,,,,,,,
,2009,National,,,,,,,,,New York Mets,,,,,,,,,,,,,,,
,2010,National,,,,,,,,,,Cincinnati Reds,,,,,,,,,,,,,,
,2010,National,,,,,,,,,,San Francisco Giants,,,,,,,,,,,,,,
,2010,National,,,,,,,,,,St. Louis Cardinals,,,,,,,,,,,,,,
,2010,National,,,,,,,,,,Arizona Diamondbacks,,,,,,,,,,,,,,
,2010,National,,,,,,,,,,Los Angeles Dodgers,,,,,,,,,,,,,,
,2010,National,,,,,,,,,,"Seasonal Events:All-Star Game|Home Run Derby|World SeriesNavigation:Year in Review Menu|Previous Season| Next SeasonMiscellaneous:A.L. Leaderboard|Rookies ListAverage Salary: $3,297,828.37Minimum Salary: $400,000.00",,,,,,,,,,,,,,
,2010,National,,,,,,,,,,West,,,,,,,,,,,,,,
,2010,National,,,,,,,,,,Houston Astros,,,,,,,,,,,,,,
,2010,National,,,,,,,,,,Milwaukee Brewers,,,,,,,,,,,,,,
,2010,National,,,,,,,,,,Pittsburgh Pirates,,,,,,,,,,,,,,
,2010,National,,,,,,,,,,Chicago Cubs,,,,,,,,,,,,,,
,2010,National,,,,,,,,,,Central,,,,,,,,,,,,,,
,2010,National,,,,,,,,,,Washington Nationals,,,,,,,,,,,,,,
,2010,National,,,,,,,,,,New York Mets,,,,,,,,,,,,,,
,2010,National,,,,,,,,,,2010 National League Final Standings,,,,,,,,,,,,,,
,2010,National,,,,,,,,,,Florida Marlins,,,,,,,,,,,,,,
,2010,National,,,,,,,,,,East,,,,,,,,,,,,,,
,2010,National,,,,,,,,,,Philadelphia Phillies,,,,,,,,,,,,,,
,2010,National,,,,,,,,,,Atlanta Braves,,,,,,,,,,,,,,
,2010,National,,,,,,,,,,Colorado Rockies,,,,,,,,,,,,,,
,2010,National,,,,,,,,,,San Diego Padres,,,,,,,,,,,,,,
,2011,National,,,,,,,,,,,2011 National League Final Standings,,,,,,,,,,,,,
,2011,National,,,,,,,,,,,Central,,,,,,,,,,,,,
,2011,National,,,,,,,,,,,Seasonal Events:All-Star Game|Home Run Derby|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:A.L. Leaderboard|Rookies List,,,,,,,,,,,,,
,2011,National,,,,,,,,,,,San Diego Padres,,,,,,,,,,,,,
,2011,National,,,,,,,,,,,Pittsburgh Pirates,,,,,,,,,,,,,
,2011,National,,,,,,,,,,,Chicago Cubs,,,,,,,,,,,,,
,2011,National,,,,,,,,,,,Cincinnati Reds,,,,,,,,,,,,,
,2011,National,,,,,,,,,,,St. Louis Cardinals,,,,,,,,,,,,,
,2011,National,,,,,,,,,,,Milwaukee Brewers,,,,,,,,,,,,,
,2011,National,,,,,,,,,,,Arizona Diamondbacks,,,,,,,,,,,,,
,2011,National,,,,,,,,,,,Florida Marlins,,,,,,,,,,,,,
